file_path,current_label,cnn_prediction,cnn_confidence,mnv2_prediction,mnv2_confidence,판정,검토자,검토일,비고
DDG/DDG_1045.jpeg,DDG,Recreational,0.996,Recreational,0.997,라벨 정확,이재혁,2026-09-05,"각진 회색 전투함 선체, 전방 함포와 높은 통합형 마스트가 보여 DDG 계열 전투함 특징과 부합"
DDG/DDG_1001.jpeg,DDG,Recreational,0.994,Recreational,1.0,라벨 정확,이재혁,2026-09-05,"대형 회색 군함 선체와 각진 상부구조, 전방 무장·레이더 마스트가 확인되어 구축함형 전투함과 부합"
DDG/DDG_1023.jpeg,DDG,Recreational,0.994,Recreational,0.799,판단 보류,이재혁,2026-09-05,회색 군함과 함재 헬기는 확인되지만 촬영각도와 해상도로 구축함(DDG)과 다른 수상전투함을 시각적으로 확정하기 어려움
DDG/DDG_1037.jpeg,DDG,Recreational,0.994,Recreational,0.986,라벨 정확,이재혁,2026-09-05,"회색 군함 선체, 함수 무장과 대형 상부구조·마스트가 뚜렷해 구축함형 전투함 특징과 부합"
DDG/DDG_1007.jpeg,DDG,Recreational,0.992,Recreational,0.995,라벨 정확,이재혁,2026-09-05,"긴 회색 전투함 선체, 전방 함포와 다층 전투함 상부구조가 확인되어 DDG 범주와 부합"
DDG/DDG_1015.jpeg,DDG,Recreational,0.989,Recreational,0.984,라벨 정확,이재혁,2026-09-05,"스텔스형 각진 회색 선체와 통합 마스트, 전방 함포가 확인되어 현대 구축함형 전투함 특징과 부합"
DDG/DDG_1050.jpeg,DDG,Recreational,0.976,Recreational,1.0,라벨 정확,이재혁,2026-09-05,각진 군함 선체와 전방 함포·레이더 마스트를 갖춘 전투함 형상이 명확하여 DDG 범주와 부합
DDG/DDG_1004.jpeg,DDG,Recreational,0.955,Recreational,0.991,라벨 정확,이재혁,2026-09-05,"길고 낮은 회색 군함 선체, 전방 함포와 중앙 마스트가 확인되어 구축함형 수상전투함 특징과 부합"
DDG/DDG_1014.jpeg,DDG,Recreational,0.95,Recreational,0.998,라벨 정확,이재혁,2026-09-05,"회색 스텔스 전투함 형상, 전방 함포와 통합형 상부구조가 확인되어 DDG 범주와 부합"
DDG/DDG_1041.jpeg,DDG,Recreational,0.936,Recreational,0.997,라벨 정확,이재혁,2026-09-05,"각진 함수와 스텔스형 회색 상부구조, 전방 함포가 뚜렷해 현대 구축함형 전투함과 부합"
DDG/DDG_1006.jpeg,DDG,Recreational,0.927,Recreational,1.0,라벨 정확,이재혁,2026-09-05,해상 기동 중인 회색 군함으로 전방 함포·레이더 마스트·전투함 상부구조가 확인됨
DDG/DDG_1058.jpeg,DDG,Recreational,0.752,Recreational,0.709,라벨 정확,이재혁,2026-09-05,"전형적인 회색 군함 선체와 다수 안테나·마스트, 전방 무장 구조가 보여 구축함형 전투함과 부합"
DDG/DDG_8.jpeg,DDG,Recreational,0.725,Recreational,0.938,라벨 정확,이재혁,2026-09-05,군함 번호가 표시된 회색 수상전투함이며 전방 함포와 대형 레이더 마스트가 확인되어 DDG 범주와 부합
Sailboat/Sailboat_1010.jpeg,Sailboat,Recreational,1.0,Recreational,0.968,라벨 정확,이재혁,2026-09-05,복수 마스트에 여러 장의 돛을 펼친 대형 범선으로 추진·외형 특징이 Sailboat와 명확히 일치
Sailboat/Sailboat_1031.jpeg,Sailboat,Recreational,1.0,Recreational,0.707,라벨 정확,이재혁,2026-09-05,상공 시점에서 여러 개의 돛과 마스트를 갖춘 범선이 확인되어 Sailboat 특징과 일치
Sailboat/Sailboat_1043.jpeg,Sailboat,Recreational,1.0,Recreational,0.995,라벨 정확,이재혁,2026-09-05,다수의 사각돛과 높은 마스트를 가진 전통 범선 형상이 뚜렷해 Sailboat와 일치
Sailboat/Sailboat_1048.jpeg,Sailboat,Recreational,1.0,Recreational,0.993,라벨 정확,이재혁,2026-09-05,복수 마스트와 흰색 돛을 펼친 대형 범선이 확인되어 Sailboat와 일치
