file_path,current_label,cnn_prediction,cnn_confidence,mnv2_prediction,mnv2_confidence,판정,검토자,검토일,비고
Aircraft Carrier/Aircraft Carrier_1009.jpeg,Aircraft Carrier,Recreational,1,Recreational,0.954,라벨 정확,김태희,2026-09-05,"넓고 평평한 비행갑판, 함재기와 측면 아일랜드 상부구조가 뚜렷해 항공모함과 일치"
Aircraft Carrier/Aircraft Carrier_1012.jpeg,Aircraft Carrier,Recreational,1,Recreational,0.962,라벨 정확,김태희,2026-09-05,대형 비행갑판에 다수 함재기가 배치되고 아일랜드 구조물이 확인되어 항공모함 특징과 일치
Aircraft Carrier/Aircraft Carrier_1001.jpeg,Aircraft Carrier,Recreational,0.892,Recreational,0.962,라벨 정확,김태희,2026-09-05,전면부터 이어지는 넓은 비행갑판과 측면 아일랜드·함재기가 확인되어 항공모함과 일치
Container Ship/Container Ship_1001.jpeg,Container Ship,Bulkers,1,Bulkers,0.921,라벨 정확,김태희,2026-09-05,갑판 전반에 다수의 직사각형 컨테이너가 층층이 적재되어 컨테이너선 특징과 명확히 일치
Container Ship/Container Ship_1004.jpeg,Container Ship,Bulkers,0.995,Bulkers,0.979,라벨 정확,김태희,2026-09-05,대형 화물선 갑판에 컨테이너가 격자 형태로 대량 적재되어 Container Ship과 일치
Container Ship/Container Ship_1021.jpeg,Container Ship,Bulkers,0.991,Bulkers,0.998,라벨 정확,김태희,2026-09-05,함수 뒤쪽 갑판에 다색 컨테이너가 여러 층 적재되어 컨테이너선 특징과 일치
Container Ship/Container Ship_1011.jpeg,Container Ship,Bulkers,0.988,Bulkers,0.919,라벨 정확,김태희,2026-09-05,선체 전후에 다량의 컨테이너가 층층이 적재되어 전형적인 컨테이너선과 일치
Container Ship/Container Ship_1016.jpeg,Container Ship,Bulkers,0.98,Bulkers,0.994,라벨 정확,김태희,2026-09-05,대형 선체 갑판을 가득 채운 컨테이너 적재가 명확하여 Container Ship과 일치
Container Ship/Container Ship_1003.jpeg,Container Ship,Bulkers,0.97,Bulkers,0.878,라벨 정확,김태희,2026-09-05,대형 상선 갑판에 다수의 녹색·적색 컨테이너가 적재되어 컨테이너선과 일치
Container Ship/Container Ship_1005.jpeg,Container Ship,Bulkers,0.967,Bulkers,0.98,라벨 정확,김태희,2026-09-05,갑판에 다색 컨테이너가 밀집 적재된 대형 화물선 형상이 명확하여 Container Ship과 일치
